Model name,input_node,output_node
ShuffleNet2.0-v2,input_1,softmax/Softmax
ShuffleNet2.0-v2,input_1,softmax/Softmax
ShuffleNet2.0-v2,input_1,softmax/Softmax
ShuffleNet2.0-v2,input_1,softmax/Softmax
ShuffleNet2.0-v2,input_1,softmax/Softmax
ShuffleNet2.0-v2,input_1,softmax/Softmax
ShuffleNet2.0-v2,input_1,softmax/Softmax
ShuffleNet2.0-v2,input_1,softmax/Softmax
MobileNet-small0.75-v3,['input_1'],['reshape_11/Reshape']
MobileNet-large0.75-v3,['input_1'],['reshape_10/Reshape']
MobileNet-small1.5-v3,['input_1'],['reshape_11/Reshape']
ResNet-38V2,['input_1'],['dense_1/Softmax']
ResNet-38V2,['input_1'],['dense_1/Softmax']
ResNet-38V2,['input_1'],['dense_1/Softmax']
ResNet-38V2,['input_1'],['dense_1/Softmax']
ResNet-38V2,['input_1'],['dense_1/Softmax']
ResNet-38V2,['input_1'],['dense_1/Softmax']
ResNet-38V2,['input_1'],['dense_1/Softmax']
ResNet-38V2,['input_1'],['dense_1/Softmax']
ResNet-38V2,['input_1'],['dense_1/Softmax']
ResNet-38V2,['input_1'],['dense_1/Softmax']
ResNet-38V2,['input_1'],['dense_1/Softmax']
ResNet-38V2,['input_1'],['dense_1/Softmax']
ResNet-38V2,['input_1'],['dense_1/Softmax']
ResNet-38V2,['input_1'],['dense_1/Softmax']
ResNet-38V2,['input_1'],['dense_1/Softmax']
ResNet-38V2,['input_1'],['dense_1/Softmax']
ResNet-38V2,['input_1'],['dense_1/Softmax']
ResNet-38V2,['input_1'],['dense_1/Softmax']
ResNet-38V2,['input_1'],['dense_1/Softmax']
ResNet-38V2,['input_1'],['dense_1/Softmax']
ResNet-38V2,['input_1'],['dense_1/Softmax']
ResNet-38V2,['input_1'],['dense_1/Softmax']
ResNet-38V2,['input_1'],['dense_1/Softmax']
ResNet-38V2,['input_1'],['dense_1/Softmax']
ResNet-47V2,['input_1'],['dense_1/Softmax']
ResNet-47V2,['input_1'],['dense_1/Softmax']
ResNet-47V2,['input_1'],['dense_1/Softmax']
ResNet-47V2,['input_1'],['dense_1/Softmax']
ResNet-47V2,['input_1'],['dense_1/Softmax']
ResNet-47V2,['input_1'],['dense_1/Softmax']
ResNet-47V2,['input_1'],['dense_1/Softmax']
ResNet-47V2,['input_1'],['dense_1/Softmax']
ResNet-47V2,['input_1'],['dense_1/Softmax']
ResNet-47V2,['input_1'],['dense_1/Softmax']
ResNet-47V2,['input_1'],['dense_1/Softmax']
ResNet-47V2,['input_1'],['dense_1/Softmax']
ResNet-47V2,['input_1'],['dense_1/Softmax']
ResNet-47V2,['input_1'],['dense_1/Softmax']
ResNet-47V2,['input_1'],['dense_1/Softmax']
ResNet-47V2,['input_1'],['dense_1/Softmax']
ResNet-47V2,['input_1'],['dense_1/Softmax']
ResNet-47V2,['input_1'],['dense_1/Softmax']
ResNet-47V2,['input_1'],['dense_1/Softmax']
ResNet-47V2,['input_1'],['dense_1/Softmax']
ResNet-47V2,['input_1'],['dense_1/Softmax']
