Model name,input_shape,total_flops,total_params
ResNext-101,"(1, 2400, 2400, 3)",1830712685689,44315569
SEResNet-18,"(1, 32, 32, 3)",99396803,11788969
SEResNet-18,"(1, 56, 56, 3)",284788931,11788969
SEResNet-18,"(1, 64, 64, 3)",323288771,11788969
SEResNet-18,"(1, 75, 75, 3)",522561155,11788969
SEResNet-18,"(1, 112, 112, 3)",1001919683,11788969
SEResNet-18,"(1, 128, 128, 3)",1218856643,11788969
SEResNet-18,"(1, 150, 150, 3)",1787591747,11788969
SEResNet-18,"(1, 224, 224, 3)",3681668291,11788969
SEResNet-18,"(1, 240, 240, 3)",4352791747,11788969
SEResNet-18,"(1, 256, 256, 3)",4801128131,11788969
SEResNet-18,"(1, 299, 299, 3)",6866517123,11788969
SEResNet-18,"(1, 320, 320, 3)",7487831747,11788969
SEResNet-18,"(1, 331, 331, 3)",8369841795,11788969
SEResNet-18,"(1, 448, 448, 3)",14652374723,11788969
SEResNet-18,"(1, 480, 480, 3)",16816663747,11788969
SEResNet-18,"(1, 568, 568, 3)",23838066883,11788969
SEResNet-18,"(1, 600, 600, 3)",26578867907,11788969
SEResNet-18,"(1, 800, 800, 3)",46668926147,11788969
SEResNet-18,"(1, 896, 896, 3)",58535200451,11788969
SEResNet-18,"(1, 1024, 1024, 3)",76446557891,11788969
SEResNet-18,"(1, 1200, 1200, 3)",105607601347,11788969
SEResNet-18,"(1, 1600, 1600, 3)",186601406147,11788969
SEResNet-18,"(1, 1792, 1792, 3)",234066503363,11788969
SEResNet-18,"(1, 2400, 2400, 3)",419822206147,11788969
SEResNet-34,"(1, 32, 32, 3)",195435319,21976669
SEResNet-34,"(1, 56, 56, 3)",580869943,21976669
SEResNet-34,"(1, 64, 64, 3)",645934903,21976669
SEResNet-34,"(1, 75, 75, 3)",1035361207,21976669
SEResNet-34,"(1, 112, 112, 3)",1983131959,21976669
SEResNet-34,"(1, 128, 128, 3)",2447933239,21976669
SEResNet-34,"(1, 150, 150, 3)",3627421879,21976669
SEResNet-34,"(1, 224, 224, 3)",7403428663,21976669
SEResNet-34,"(1, 240, 240, 3)",8695337271,21976669
SEResNet-34,"(1, 256, 256, 3)",9655926583,21976669
SEResNet-34,"(1, 299, 299, 3)",13773864887,21976669
SEResNet-34,"(1, 320, 320, 3)",15061921591,21976669
SEResNet-34,"(1, 331, 331, 3)",16794983351,21976669
SEResNet-34,"(1, 448, 448, 3)",29477908279,21976669
SEResNet-34,"(1, 480, 480, 3)",33832737591,21976669
SEResNet-34,"(1, 568, 568, 3)",48078937911,21976669
SEResNet-34,"(1, 600, 600, 3)",53600398135,21976669
SEResNet-34,"(1, 800, 800, 3)",93899348791,21976669
SEResNet-34,"(1, 896, 896, 3)",117775826743,21976669
SEResNet-34,"(1, 1024, 1024, 3)",153815793463,21976669
SEResNet-34,"(1, 1200, 1200, 3)",212206735671,21976669
SEResNet-34,"(1, 1600, 1600, 3)",375461588791,21976669
SEResNet-34,"(1, 1792, 1792, 3)",470967500599,21976669
SEResNet-34,"(1, 2400, 2400, 3)",844731988791,21976669
SEResNet-50,"(1, 32, 32, 3)",223078176,28141144
SEResNet-50,"(1, 56, 56, 3)",629650464,28141144
SEResNet-50,"(1, 64, 64, 3)",696362784,28141144
SEResNet-50,"(1, 75, 75, 3)",1113903712,28141144
SEResNet-50,"(1, 112, 112, 3)",2110038816,28141144
SEResNet-50,"(1, 128, 128, 3)",2589501216,28141144
SEResNet-50,"(1, 150, 150, 3)",3833061792,28141144
SEResNet-50,"(1, 224, 224, 3)",7795631904,28141144
